epidemiological_week,date,order_for_place,state,city,city_ibge_code,place_type,last_available_confirmed,last_available_confirmed_per_100k_inhabitants,new_confirmed,last_available_deaths,new_deaths,last_available_death_rate,estimated_population,is_last,is_repeated
202213,2022-03-27,741,AC,,12,state,123808,13841.49273,31,1992,0,0.0161,894470,True,False
202213,2022-03-27,750,AL,,27,state,295972,8830.91758,0,6869,0,0.0232,3351543,False,True
202213,2022-03-27,745,AM,,13,state,581070,13809.6363,28,14151,0,0.0244,4207714,True,False
202213,2022-03-27,738,AP,,16,state,160328,18604.43527,7,2122,0,0.0132,861773,True,False
202213,2022-03-27,752,BA,,29,state,1530054,10247.74969,1046,29658,2,0.0194,14930634,True,False
202213,2022-03-27,742,CE,,23,state,1239746,13494.41712,44,26708,9,0.0215,9187103,True,False
202213,2022-03-27,751,DF,,53,state,691353,22629.10909,0,11573,0,0.0167,3055149,False,True
202213,2022-03-27,753,ES,,32,state,1037188,25521.03172,102,14323,0,0.0138,4064052,True,False
202213,2022-03-27,746,GO,,52,state,1269853,17851.21051,170,26212,4,0.0206,7113540,True,False
202213,2022-03-27,738,MA,,21,state,424199,5962.37482,63,10869,1,0.0256,7114598,True,False
202213,2022-03-27,750,MG,,31,state,3317401,15580.01708,342,60767,26,0.0183,21292666,True,False
202213,2022-03-27,744,MS,,50,state,523565,18636.22546,0,10486,0,0.02,2809394,False,True
202213,2022-03-27,738,MT,,51,state,724653,20550.41943,374,14854,1,0.0205,3526220,True,False
202213,2022-03-27,740,PA,,15,state,751293,8644.74795,291,18079,1,0.0241,8690745,True,False
202213,2022-03-27,746,PB,,25,state,594891,14727.66042,533,10189,2,0.0171,4039277,True,False
202213,2022-03-27,746,PE,,26,state,892115,9276.80315,831,21366,11,0.0239,9616621,True,False
202213,2022-03-27,739,PI,,22,state,367515,11199.6721,0,7721,0,0.021,3281480,False,True
202213,2022-03-27,746,PR,,41,state,2407960,20908.16578,835,42896,2,0.0178,11516840,True,False
202213,2022-03-27,753,RJ,,33,state,2078817,11970.48472,169,72695,45,0.035,17366189,True,False
202213,2022-03-27,746,RN,,24,state,495749,14027.33036,0,8119,0,0.0164,3534165,False,True
